,NULL
30.7.2015,[]
6.8.2015,[]
NULL,"[('inspection report', 'the car involved in the\nincident and gave A11 (exh.84). this witness stated that the tyres of the\nvehicle were found in good condition and only stated that the left side front tyre was\ndeflated. pw-1 is the panch witness sambha gowda regarding spot of incident.'), ('an accident', '53 cr apeal-572-2015-judgment.doc\n44. now having the broad analysis the substantive evidence before the sessions court vis-a-\nvis the arguments on behalf of the appellant and the state, a detailed analysis of the evidence and its\nacceptability and the trustworthiness of the witnesses is required to be done on the broad three\naspects as to who was driving, whether the appellant was drunk and whether it was E13 so\nalso the other allied submissions are also required to be dealt in detail.'), ('ran away from the spot', 'according to him, many people were telling that accused got down from the car. also, according\nto this witness, accused, then E15 after seeing the crowd. one police guard was\nalso present in the car.'), ('ran away from the spot', 'in any event, this substantive evidence of\npw 4 may not be of much significance so far as the case of the prosecution is concerned as to driving\nand that also under the influence of alcohol by the appellant. however, during the\ncross-examination still another admission is taken from this witness and this witness in paragraph 8\nin his notes of evidence states to the following effect:\n71 cr apeal-572-2015-judgment.doc ""it did not happen that two persons ran away from the\ncar. the second person E15 after salman.')]"
29.9.2002 at about 9:30 a.m.,[]
27.9.2002,[]
31.1.2013,[]
28.9.2002,"[('an accident', 'he further stated that he did not\nsee the case papers. now, a very different story is given by this witness during cross-examination\nwhich is appearing in paragraph 12 of his notes of evidence to the following effect:\n184 cr apeal-572-2015-judgment.doc ""it is true that i came to know that on the morning of\nT11 that E13 had occurred. i also made a call to the control room on 29.9.2002 as to\nwhether an inspection of the vehicle involved in the accident is to be carried or not.')]"
at around 2:30 p.m.,[]
26.4.2014,[]
about 2:30 a.m. to 2:45 a.m.,[]
2:45 a.m. on 28.9.2002,[]
7:00 p.m.,[]
night,[]
1:10 a.m.,[]
on 1.10.2002,"[('analysed the blood phials.', 'thereafter, he kept the\nblood phials in the refrigerator. further the evidence of this witness shows that T24 he\nA10 he used the ""modified diffusion oxidation method"" for analyzing the\nblood.')]"
9:30 a.m.,[]
2.2.2006,[]
16.3.2006,[]
5.1.2006,[]
